hostname	dns	env	test	wallclocktime
bad-hostname	bad-dns	trusty-php5.5	curl-php	0m20.569s
bad-hostname	bad-dns	trusty-php5.5	curl-sh	0m20.024s
bad-hostname	bad-dns	trusty-php5.5	guzzle	0m20.053s
bad-hostname	bad-dns	trusty-php5.6	curl-php	0m20.573s
bad-hostname	bad-dns	trusty-php5.6	curl-sh	0m20.024s
bad-hostname	bad-dns	trusty-php5.6	guzzle	0m20.065s
bad-hostname	bad-dns	trusty-php7.0	curl-php	0m20.559s
bad-hostname	bad-dns	trusty-php7.0	curl-sh	0m20.025s
bad-hostname	bad-dns	trusty-php7.0	guzzle	0m20.049s
bad-hostname	good-dns	trusty-php5.5	curl-php	0m0.277s
bad-hostname	good-dns	trusty-php5.5	curl-sh	0m0.013s
bad-hostname	good-dns	trusty-php5.5	guzzle	0m0.036s
bad-hostname	good-dns	trusty-php5.6	curl-php	0m0.026s
bad-hostname	good-dns	trusty-php5.6	curl-sh	0m0.010s
bad-hostname	good-dns	trusty-php5.6	guzzle	0m0.036s
bad-hostname	good-dns	trusty-php7.0	curl-php	0m0.024s
bad-hostname	good-dns	trusty-php7.0	curl-sh	0m0.012s
bad-hostname	good-dns	trusty-php7.0	guzzle	0m0.036s
good-hostname	bad-dns	trusty-php5.5	curl-php	0m20.562s
good-hostname	bad-dns	trusty-php5.5	curl-sh	0m20.057s
good-hostname	bad-dns	trusty-php5.5	guzzle	0m20.061s
good-hostname	bad-dns	trusty-php5.6	curl-php	0m20.564s
good-hostname	bad-dns	trusty-php5.6	curl-sh	0m20.028s
good-hostname	bad-dns	trusty-php5.6	guzzle	0m20.054s
good-hostname	bad-dns	trusty-php7.0	curl-php	0m20.577s
good-hostname	bad-dns	trusty-php7.0	curl-sh	0m20.028s
good-hostname	bad-dns	trusty-php7.0	guzzle	0m20.066s
good-hostname	good-dns	trusty-php5.5	curl-php	0m0.476s
good-hostname	good-dns	trusty-php5.5	curl-sh	0m0.338s
good-hostname	good-dns	trusty-php5.5	guzzle	0m0.381s
good-hostname	good-dns	trusty-php5.6	curl-php	0m0.358s
good-hostname	good-dns	trusty-php5.6	curl-sh	0m0.339s
good-hostname	good-dns	trusty-php5.6	guzzle	0m0.367s
good-hostname	good-dns	trusty-php7.0	curl-php	0m0.359s
good-hostname	good-dns	trusty-php7.0	curl-sh	0m0.344s
good-hostname	good-dns	trusty-php7.0	guzzle	0m0.384s
